"","alltrial","id","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"190","10","180503_3_pref","4","preference","Monkey","Beaver","t1","t7","t1","right","8","true",10182,0
"191","1","180503_4_pref","3","preference","Elephant","Dog","car","bear","car","left","train","false",10970,1
"192","2","180503_4_pref","3","preference","Pig","Dog","duck","ball","ball","right","train","false",10232,1
"193","3","180503_4_pref","3","preference","Monkey","Dog","t11","t6","t6","left","1","true",14992,0
"194","4","180503_4_pref","3","preference","Mouse","Elephant","t15","t9","t9","left","2","false",13298,0
"195","5","180503_4_pref","3","preference","Pig","Elephant","t17","t12","t12","right","3","false",14349,1
"196","6","180503_4_pref","3","preference","Tiger","Elephant","t8","t16","t8","right","4","true",15148,0
"197","7","180503_4_pref","3","preference","Cat","Bear","t7","t10","t7","right","5","true",13315,0
"198","8","180503_4_pref","3","preference","Beaver","Sheep","t14","t2","t2","left","6","false",13390,0
"199","9","180503_4_pref","3","preference","Frog","Sheep","t3","t5","t5","right","7","false",14488,1
"200","10","180503_4_pref","3","preference","Bunny","Sheep","t1","t4","t4","left","8","true",19238,0
"201","1","180504_1_pref","3","preference","Elephant","Bunny","car","bear","car","left","train","false",15885,1
"202","2","180504_1_pref","3","preference","Pig","Bunny","duck","ball","ball","right","train","false",10882,1
"203","3","180504_1_pref","3","preference","Beaver","Bunny","t10","t2","t2","left","1","false",21203,0
"204","4","180504_1_pref","3","preference","Pig","Bunny","t16","t15","t15","left","2","true",14116,0
"205","5","180504_1_pref","3","preference","Sheep","Mouse","t9","t5","t9","left","3","false",14297,1
"206","6","180504_1_pref","3","preference","Dog","Mouse","t17","t7","t7","right","4","true",16670,1
"207","7","180504_1_pref","3","preference","Cat","Frog","t11","t6","t6","left","5","false",11604,0
"208","8","180504_1_pref","3","preference","Elephant","Frog","t4","t8","t4","right","6","true",19046,0
"209","9","180504_1_pref","3","preference","Tiger","Monkey","t1","t14","t14","right","7","true",10618,1
"210","10","180504_1_pref","3","preference","Bear",NA,"t3","t12","t12","right","8","false",13493,1
"211","1","180504_2_pref","3","preference","Elephant","Dog","car","bear","car","left","train","false",11347,1
"212","2","180504_2_pref","3","preference","Pig","Dog","duck","ball","ball","right","train","false",11661,1
"213","3","180504_2_pref","3","preference","Bear","Dog","t14","t2","t14","left","1","false",12647,1
"214","4","180504_2_pref","3","preference","Mouse","Dog","t16","t10","t16","left","2","true",16788,1
"215","5","180504_2_pref","3","preference","Elephant","Cat","t4","t1","t4","right","3","false",17466,0
"216","6","180504_2_pref","3","preference","Beaver","Cat","t5","t11","t5","left","4","true",13753,1
"217","7","180504_2_pref","3","preference","Sheep","Monkey","t7","t9","t9","right","5","false",13286,1
"218","8","180504_2_pref","3","preference","Frog","Monkey","t6","t3","t3","right","6","true",14427,1
"219","9","180504_2_pref","3","preference","Bunny","Pig","t8","t17","t17","right","7","true",13844,1
"220","10","180504_2_pref","3","preference","Tiger",NA,"t15","t12","t15","left","8","false",13835,1
"221","1","180511_1b_pref","4","preference","Elephant","Frog","car","bear","car","left","train","false",13748,1
"222","2","180511_1b_pref","4","preference","Pig","Frog","duck","ball","ball","right","train","false",9997,1
"223","3","180511_1b_pref","4","preference","Beaver","Frog","t15","t14","t15","right","1","true",19173,0
"224","4","180511_1b_pref","4","preference","Mouse","Pig","t9","t7","t7","right","2","false",10168,1
"225","5","180511_1b_pref","4","preference","Cat","Pig","t12","t8","t12","left","3","true",12957,1
"226","6","180511_1b_pref","4","preference","Sheep","Dog","t16","t6","t6","right","4","false",13154,1
"227","7","180511_1b_pref","4","preference","Bunny","Dog","t10","t5","t5","right","5","true",13534,1
"228","8","180511_1b_pref","4","preference","Tiger","Elephant","t11","t3","t3","left","6","false",13549,0
"229","9","180511_1b_pref","4","preference","Monkey","Elephant","t17","t4","t17","left","7","true",8680,1
"230","10","180511_1b_pref","4","preference","Bear",NA,"t2","t1","t2","left","8","false",8716,1
"231","1","180511_3_pref","4","preference","Elephant","Frog","car","bear","car","left","train","false",14059,1
"232","2","180511_3_pref","4","preference","Pig","Frog","duck","ball","ball","right","train","false",10136,1
"233","3","180511_3_pref","4","preference","Dog","Frog","t11","t3","t3","right","1","true",23666,1
"234","4","180511_3_pref","4","preference","Sheep","Mouse","t12","t5","t5","right","2","false",21813,1
"235","5","180511_3_pref","4","preference","Cat","Mouse","t1","t8","t8","right","3","false",14515,1
"236","6","180511_3_pref","4","preference","Monkey","Mouse","t14","t17","t17","right","4","true",14850,1
"237","7","180511_3_pref","4","preference","Beaver","Pig","t16","t9","t9","left","5","true",13847,0
"238","8","180511_3_pref","4","preference","Tiger","Elephant","t4","t10","t4","left","6","false",13946,1
"239","9","180511_3_pref","4","preference","Bear","Elephant","t2","t6","t6","left","7","true",14368,0
"240","10","180511_3_pref","4","preference","Bunny",NA,"t15","t7","t15","left","8","false",14341,1
"241","1","180511_5_pref","3","preference","Elephant","Beaver","car","bear","car","left","train","false",14663,1
"242","2","180511_5_pref","3","preference","Pig","Beaver","duck","ball","ball","right","train","false",10409,1
"243","3","180511_5_pref","3","preference","Mouse","Beaver","t17","t15","t15","left","1","true",14782,0
"244","4","180511_5_pref","3","preference","Pig","Monkey","t12","t1","t1","right","2","false",14315,1
"245","5","180511_5_pref","3","preference","Elephant","Monkey","t4","t11","t4","left","3","true",13745,1
"246","6","180511_5_pref","3","preference","Bear","Tiger","t2","t5","t2","right","4","false",12484,0
"247","7","180511_5_pref","3","preference","Dog","Tiger","t3","t9","t3","left","5","true",14191,1
"248","8","180511_5_pref","3","preference","Frog","Cat","t14","t6","t14","right","6","false",13547,0
"249","9","180511_5_pref","3","preference","Sheep","Cat","t10","t8","t10","right","7","true",13841,0
"250","10","180511_5_pref","3","preference","Bunny",NA,"t7","t16","t16","left","8","false",13511,0
"251","1","Dryrun","4","preference","Elephant","Sheep","car","bear","car","left","train","false",12224,1
"252","1","Dryrun","4","preference","Elephant","Dog","car","bear","car","left","train","false",14106,1
"253","2","Dryrun","4","preference","Pig","Sheep","duck","ball","ball","right","train","false",10251,1
"254","2","Dryrun","4","preference","Pig","Dog","duck","ball","ball","right","train","false",10124,1
"255","3","Dryrun","4","preference","Mouse","Sheep","t15","t11","t11","left","1","false",26799,0
"256","3","Dryrun","4","preference","Tiger","Dog","t15","t9","t15","right","1","true",15625,0
"257","4","Dryrun","4","preference","Tiger","Sheep","t7","t8","t7","right","2","true",16317,0
"258","4","Dryrun","4","preference","Beaver","Bear","t4","t12","t4","left","2","false",14579,1
"259","5","Dryrun","4","preference","Beaver","Monkey","t3","t1","t1","left","3","true",13948,0
"260","5","Dryrun","4","preference","Sheep","Bear","t2","t5","t2","left","3","false",13232,1
"261","6","Dryrun","4","preference","Dog","Frog","t14","t16","t16","right","4","false",10595,1
"262","6","Dryrun","4","preference","Cat","Bear","t14","t17","t14","left","4","true",13385,1
"263","7","Dryrun","4","preference","Cat","Frog","t4","t2","t2","right","5","false",11725,1
"264","7","Dryrun","4","preference","Mouse","Monkey","t3","t7","t7","right","5","true",13655,1
"265","8","Dryrun","4","preference","Bunny","Frog","t12","t5","t12","left","6","true",15378,1
"266","8","Dryrun","4","preference","Frog","Bunny","t16","t8","t8","right","6","false",14039,1
"267","9","Dryrun","4","preference","Elephant","Pig","t9","t6","t6","right","7","false",15234,1
"268","9","Dryrun","4","preference","Pig","Bunny","t1","t6","t6","right","7","true",8162,1
"269","10","Dryrun","4","preference","Bear","Pig","t10","t17","t10","left","8","true",14331,1
"270","10","Dryrun","4","preference","Elephant",NA,"t10","t11","t11","left","8","false",14385,0
