experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,2,novelty,strong,same_speaker,Frog,0
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,3,novelty,strong,same_speaker,Frog,0
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,4,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,5,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,e70bf01872143f90d66459e7b13f07ce,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,1,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,2,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,3,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,4,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,5,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,ec744ffe2c272bab8bdbb4236f7d18d1,6,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,2,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,3,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,4,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,5,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,f0ef4f803e138506f0a8a7d57bc2ac75,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,1,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,2,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,f8ccb11af6d22cf59a7735dbfde832d3,3,novelty,strong,same_speaker,Frog,1
