experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,1,novelty,different_speaker,congruent,Elephant,1
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,2,novelty,same_speaker,incongruent,Tiger,0
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,3,novelty,different_speaker,incongruent,Bear,1
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,4,novelty,same_speaker,congruent,Bunny,1
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,5,novelty,same_speaker,congruent,Beaver,1
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,6,novelty,different_speaker,congruent,Frog,0
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,7,novelty,same_speaker,incongruent,Pig,0
adult_ex3,7e09cc5ece78cf267dd3671bc6aeacc9,8,novelty,different_speaker,incongruent,Mouse,1
adult_ex3,7fba994700bcc3a7abeea68ab9e872ce,1,novelty,same_speaker,congruent,Sheep,1
adult_ex3,7fba994700bcc3a7abeea68ab9e872ce,2,novelty,different_speaker,congruent,Dog,1
adult_ex3,7fba994700bcc3a7abeea68ab9e872ce,3,novelty,different_speaker,incongruent,Cat,0
